binomial,mass.g,bmr.ml.O2.h
Peromyscus maniculatus,22.8,36.9
Peromyscus m.artemisidae,23.19,46.1
Peromyscus m. austerus,19.53,39.8
Peromyscus m. gambeli,19.1,39
Peromyscus m. nebrascensis,18.93,39.4
Peromyscus m. sonoriensis,20.38,37.5
Peromyscus megalops,66.2,90.7
Peromyscus oreas,24.58,43.5
Peromyscus polionotus,12,21.5
Peromyscus sitkensis,28.3,46.7
Peromyscus truei gilberti,33.3,62.6
Peromyscus truei truei,33.2,50.8
Phenacomys intermedius,21.5,67.3
Phodopus sungorus,25.7,40.9
Phyllotis darwini chilensis,49,65.7
Phyllotis darwini darwini,59,71.4
Phyllotis darwini rupestris,36,45.4
Phyllotis magister,62.8,69
Phyllotis xanthopygus,55,56.7
Podomys floridanus,30.8,51.7
Pseudomys gracilicaudatus,79.8,83.8
Pseudomys hermannsburgensis,12.2,23.3
Rattus colletti,165.7,123
Rattus fuscipes,76,84.4
Rattus lutreolis,109,63.2
Rattus sordidus,187,106.6
Rattus villosissimus,250.6,145.8
Reithrodon auritus,78.7,76.8
Reithrodontomys megalotis,9,22.5
Rhabdomys pumilio,39.6,32.1
Saccostomus campestris,61.3,51.5
Scotinomys teguina,12,31.2
Scotinomys xerampelinus,15.2,31.9
Sekeetamys calurus,56.9,44.4
Sigmodon alleni,137.8,203.3
Sigmodon fulviventer,137.8,207.4
Sigmodon hispidus,139.3,230.4
Sigmodon leucotis,128.6,186.5
Sigmodon ochrognathus,115.1,154.2
Steatomys pratensis,37.54,18.8
Stochomys longicaudatus,84.2,97.5
Tachyoryctes splendens,191,150.9
Tatera afra,106.5,182.1
Tatera indica,87,75.7
Tatera leucogaster,157.62,132.6
Thallomys paedulcus,132.4,87.3
Uromys caudimaculatus,812,570.8
Myoxus glis,200,158
Muscardenis avellanarius,23.5,63
Graphiurus ocularis,67.8,66.4
Aconaemys fuscus,112,121
Octodon bridgesi,176.1,183.3
Octodon degus,193,170.2
Octodon lunatus,173.2,171.5
Octodontomys gliroides,152,130.7
