Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.geo.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.geo.mean,fmr.lower.95hpd,fmr.upper.95hpd
Pseudomys_calabyi,Rodentia,Muridae,1.3521825181113625,1.1414363666666667,0.05028883159304081,1.043,1.2415,1.6748478,0.05123304653098052,1.5769,1.779,13.849572455085498,11.04078619902073,17.438133574658384,47.298547052212186,37.74852617240588,60.11737374832779
Pseudomys_chapmani,Rodentia,Muridae,1.0791812460476249,0.940795,0.05062139676332617,0.8432,1.0397,1.4867565,0.05183641470092573,1.3862,1.5857,8.72559397000987,6.969473963563204,10.957210373818949,30.673017330698322,24.3332433835825,38.52121705981028
Pseudomys_delicatulus,Rodentia,Muridae,1.0413926851582251,0.9076089666666667,0.05063748066154297,0.8064,1.001,1.4553095,0.05211993069330732,1.3515,1.5568,8.083677271925628,6.40324324468947,10.023052380778994,28.530507700637784,22.464667759918644,36.04126286491436
Pseudomys_desertor,Rodentia,Muridae,1.3979400086720377,1.1708848,0.0508679087146864,1.0726,1.2706,1.7021932333333334,0.0519426037940776,1.599,1.8013,14.821248878078423,11.819524358201662,18.6466148299849,50.37246842778039,39.71915494694403,63.28488569256952
Pseudomys_fieldi,Rodentia,Muridae,1.6532125137753437,1.3591641,0.05520883274375254,1.2503,1.4645,1.8787375666666666,0.056293498304831095,1.7635,1.9821,22.86462589696625,17.79508226306383,29.140701347708045,75.63756979121739,58.0096172522704,95.9621567110341
Pseudomys_fumeus,Rodentia,Muridae,1.845098040014257,1.5049257,0.050388651978986496,1.4039,1.6023,2.0156795333333335,0.05110355864011935,1.9073,2.1097,31.983478828982935,25.345449627583772,40.02211172497032,103.67631041612462,80.77928410918551,128.73599677157932
Pseudomys_glaucus,Rodentia,Muridae,1.4771212547196624,1.2297079,0.050795286145680296,1.1257,1.3252,1.7573778666666666,0.051895577143830404,1.657,1.8573,16.971018231070634,13.356725478916943,21.144625616525904,57.197607955089275,45.39416166502032,71.99461274408394
Pseudomys_gouldii,Rodentia,Muridae,1.6989700043360187,1.3936180333333332,0.050997703347449484,1.2935,1.4914,1.9110885333333334,0.05191592905597925,1.8053,2.0074,24.75244096205294,19.65621980580369,31.002734419981913,81.48703829268729,63.87045353025886,101.71851236832151
Pseudomys_gracilicaudatus,Rodentia,Muridae,1.8739015978644613,1.5143468,0.04781735699133261,1.4247,1.6075,2.0237777333333336,0.04856598462383986,1.9286,2.1153,32.68487286339403,26.58887730705083,40.50419451364931,105.62767811666835,84.8398710985996,130.40672851598143
Pseudomys_hermannsburgensis,Rodentia,Muridae,1.0791812460476249,0.9428562333333333,0.0469122685601472,0.8454,1.0284,1.4888172,0.048608461934974805,1.3872,1.5758,8.767105512386436,7.004868712316825,10.675789450994941,30.818904708135197,24.389337302789126,37.653036041227814
Pseudomys_higginsi,Rodentia,Muridae,1.8260748027008264,1.4854582333333333,0.055061233477128865,1.3793,1.5945,1.9970861,0.055979100773096153,1.8898,2.112,30.58146126466863,23.94969571502181,39.30972449074674,99.33129557543515,77.58897239198744,129.41958414499862
Pseudomys_johnsoni,Rodentia,Muridae,1.0791812460476249,0.9405787,0.050253927760873895,0.8354,1.0365,1.4865399333333333,0.05159503446252638,1.3883,1.5933,8.72124927732594,6.845418433584802,10.876771376309996,30.657725639406525,24.451189978250408,39.20125762951649
Pseudomys_nanus,Rodentia,Muridae,1.5314789170422551,1.2550528666666667,0.04815009299680278,1.1535,1.3381,1.7802225666666667,0.048982099343511075,1.6882,1.8762,17.990899050112862,14.239672466462428,21.782112662934356,60.28684641609499,48.77530569745949,75.19691088652654
Pseudomys_novaehollandiae,Rodentia,Muridae,1.3010299956639813,1.0967624,0.04998103607932233,0.9975,1.1892,1.6325285,0.051218408665362404,1.5326,1.731,12.495752078058668,9.942600739529567,15.459662193866743,42.907034548798606,34.08788060102587,53.826978251628844
Pseudomys_occidentalis,Rodentia,Muridae,1.5314789170422551,1.2671447666666666,0.051739277635360986,1.1676,1.3686,1.7923149,0.052554692843772774,1.6817,1.8865,18.49885152434443,14.70957076796977,23.366840816727315,61.98903847915905,48.050731108981346,77.00164443568721
Pseudomys_oralis,Rodentia,Muridae,1.9777236052888478,1.5959579,0.05188546139936384,1.4933,1.6955,2.100615433333333,0.05256906981149503,1.9941,2.1993,39.44190656983024,31.138665771825615,49.60209273959747,126.0710684053398,98.6506611023098,158.2340704069051
Pseudomys_patrius,Rodentia,Muridae,1.2227164711475833,1.0463220666666666,0.05025499412536432,0.946,1.1427,1.5856856333333333,0.05117898207598832,1.486,1.6861,11.125564776351917,8.830799004185627,13.889928174968531,38.519942780825545,30.61963433690677,48.54002548344868
Pseudomys_pilligaensis,Rodentia,Muridae,1.0413926851582251,0.9079198666666667,0.0509178887600499,0.8032,1.0015,1.4556195333333333,0.05219160481328919,1.3538,1.5555,8.089466235763906,6.356235799378438,10.034598491478393,28.55088227778781,22.583955011455508,35.93353967553899
