Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Comment
Callithrix_jacchus,Primates,Callitrichidae,Callithrix_jacchus,190,152,2.278753600952829,1.8649492635851737,WhiteSeymore.2003,NA
Cebuella_pygmaea,Primates,Callitrichidae,Cebuella_pygmaea,116.8,117,2.0674428427763805,1.7512915373865627,WhiteSeymore.2003,NA
Saguinus_geoffroyi,Primates,Callitrichidae,Saguinus_geoffroyi,225,234,2.3521825181113627,2.0523215330505438,WhiteSeymore.2003,NA
Alouatta_palliata,Primates,Atelidae,Alouatta_palliata,4670,2055,3.6693168805661123,2.9959175018524893,WhiteSeymore.2003,NA
Aotus_trivirgatus,Primates,Aotidae,Aotus_trivirgatus,820,442,2.9138138523837167,2.328527944989493,WhiteSeymore.2003,NA
Saimiri_sciureus,Primates,Cebidae,Saimiri_sciureus,875,801,2.942008053022313,2.586738191724639,WhiteSeymore.2003,NA
Cercopithecus_mitis,Primates,Cercopithecidae,Cercopithecus_mitis,8500,3392,3.929418925714293,3.2135615192250775,WhiteSeymore.2003,NA
Colobus_guereza,Primates,Cercopithecidae,Colobus_guereza,10450,2978,4.019116290447073,3.1570303690565584,WhiteSeymore.2003,NA
Erythrocebus_patas,Primates,Cercopithecidae,Erythrocebus_patas,3000,1068,3.4771212547196626,2.7116769283329387,WhiteSeymore.2003,NA
Papio_anubis,Primates,Cercopithecidae,Papio_anubis,9500,2778,3.9777236052888476,3.126837917041998,WhiteSeymore.2003,NA
Papio_ursinus,Primates,Cercopithecidae,Papio_ursinus,16900,5147,4.227886704613674,3.3946598438905706,WhiteSeymore.2003,NA
Cheirogaleus_medius,Primates,Cheirogaleidae,Cheirogaleus_medius,300,195,2.4771212547196626,1.973140287002919,WhiteSeymore.2003,NA
Propithecus_verreauxi,Primates,Indriidae,Propithecus_verreauxi,3350,670,3.525044807036845,2.5091804783412277,WhiteSeymore.2003,NA
Eulemur_fulvus,Primates,Lemuridae,Eulemur_fulvus,2330,746,3.367355921026019,2.55584450311307,WhiteSeymore.2003,NA
Arctocebus_calabarensis,Primates,Lorisidae,Arctocebus_calabarensis,206,131,2.3138672203691533,1.8003769712961653,WhiteSeymore.2003,NA
Euoticus_elegantulus,Primates,Galagidae,Euoticus_elegantulus,261.5,216,2.417471693203293,2.017559426791332,WhiteSeymore.2003,NA
Galago_moholi,Primates,Galagidae,Galago_moholi,170,51,2.230448921378274,1.3906758517383375,WhiteSeymore.2003,NA
Galago_senegalensis,Primates,Galagidae,Galago_senegalensis,171.5,137,2.2342641243787895,1.819826242796808,WhiteSeymore.2003,NA
Galagoides_demidoff,Primates,Galagidae,Galagoides_demidoff,63.8,59,1.8048206787211623,1.4539576872825453,WhiteSeymore.2003,NA
Loris_tardigradus,Primates,Lorisidae,Loris_tardigradus,284,128,2.4533183400470375,1.7903156452882694,WhiteSeymore.2003,NA
Nycticebus_coucang,Primates,Lorisidae,Nycticebus_coucang,1160,273,3.0644579892269186,2.1192683226811573,WhiteSeymore.2003,NA
Otolemur_crassicaudatus,Primates,Galagidae,Otolemur_crassicaudatus,950,412,2.9777236052888476,2.2980028916735358,WhiteSeymore.2003,NA
Otolemur_garnettii,Primates,Galagidae,Otolemur_garnettii,1314,704,3.118595365223762,2.5306783347825133,WhiteSeymore.2003,NA
Perodicticus_potto,Primates,Lorisidae,Perodicticus_potto,964,327,2.984077033902831,2.197653428300687,WhiteSeymore.2003,NA
Tarsius_syrichta,Primates,Tarsiidae,Tarsius_syrichta,113,77,2.0530784434834195,1.5695964008128829,WhiteSeymore.2003,NA
Tarsius_tarsier,Primates,Tarsiidae,Tarsius_spectrum,173,149,2.2380461031287955,1.856291944052675,WhiteSeymore.2003,NA
Cuniculus_paca,Rodentia,Cuniculidae,Agouti_paca,9156,2746.8,3.9617057840025054,3.121932714362569,WhiteSeymore.2003,NA
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia_rufa,630,277.2,2.7993405494535817,2.1258989015801704,WhiteSeymore.2003,NA
Bathyergus_janetta,Rodentia,Bathyergidae,Bathyergus_janetta,406,215.2,2.6085260335771943,2.0159479426347526,WhiteSeymore.2003,NA
Bathyergus_suillus,Rodentia,Bathyergidae,Bathyergus_suillus,620,303.8,2.792391689498254,2.1656934451671686,WhiteSeymore.2003,NA
Fukomys_bocagei,Rodentia,Bathyergidae,Cryptomys_bocagei,94,69.6,1.9731278535996986,1.5257149152509633,WhiteSeymore.2003,NA
Fukomys_damarensis,Rodentia,Bathyergidae,Cryptomys_damarensis,138,78.7,2.1398790864012365,1.5790804079994656,WhiteSeymore.2003,NA
Fukomys_darlingi,Rodentia,Bathyergidae,Cryptomys_darlingi,60,58.8,1.7781512503836436,1.4524830017165395,WhiteSeymore.2003,NA
Cryptomys_hottentotus,Rodentia,Bathyergidae,Cryptomys_hottentotus,75,67.5,1.8750612633917,1.5124094484714259,WhiteSeymore.2003,NA
Cryptomys_hottentotus,Rodentia,Bathyergidae,Cryptomys_hottentotus_amatus,79.5,55.5,1.9003671286564703,1.4273986587630774,WhiteSeymore.2003,NA
Cryptomys_hottentotus,Rodentia,Bathyergidae,Cryptomys_hottentotus_natalensis,102,81.6,2.0086001717619175,1.5947958343942623,WhiteSeymore.2003,NA
Fukomys_mechowi,Rodentia,Bathyergidae,Cryptomys_mechowi,267,160.2,2.4265112613645754,1.8877681873886198,WhiteSeymore.2003,NA
Georychus_capensis,Rodentia,Bathyergidae,Georychus_capensis,195,115.7,2.290034611362518,1.7464390345921506,WhiteSeymore.2003,NA
Heliophobius_argenteocinereus,Rodentia,Bathyergidae,Heliophobius_argentocinereus,88,74.8,1.9444826721501687,1.5570072735048623,WhiteSeymore.2003,NA
Heterocephalus_glaber,Rodentia,Bathyergidae,Heterocephalus_glaber,32,20.5,1.505149978319906,0.9948595366961555,WhiteSeymore.2003,NA
Capromys_pilorides,Rodentia,Echimyidae,Capromys_pilorides,2630,604.9,3.419955748489758,2.464789260147752,WhiteSeymore.2003,NA
Geocapromys_ingrahami,Rodentia,Echimyidae,Geocapromys_ingrahami,775,265.8,2.88930170250631,2.107660652247114,WhiteSeymore.2003,NA
Geocapromys_brownii,Rodentia,Echimyidae,Geocapromys_brownii,2456,736.8,3.3902283624691303,2.5504552928291937,WhiteSeymore.2003,NA
Cavia_tschudii,Rodentia,Caviidae,Cavia_porcellus,629,346,2.798650645445269,2.2221817744331775,WhiteSeymore.2003,NA
Dolichotis_salinicola,Rodentia,Caviidae,Dolichotis_salinicola,1613,725.9,3.2076343673889616,2.543982472043699,WhiteSeymore.2003,NA
Galea_musteloides,Rodentia,Caviidae,Galea_musteloides,322,264,2.507855871695831,2.104709602510232,WhiteSeymore.2003,NA
Kerodon_rupestris,Rodentia,Caviidae,Kerodon_ruprestris,801,360.5,2.9036325160842376,2.240010944695849,WhiteSeymore.2003,NA
Microcavia_niata,Rodentia,Caviidae,Microcavia_niata,255,175.7,2.406540180433955,1.9278774371356961,WhiteSeymore.2003,NA
Chinchilla_lanigera,Rodentia,Chinchillidae,Chinchilla_laniger,426,200.2,2.629409599102719,1.9845697487837008,WhiteSeymore.2003,NA
Lagostomus_maximus,Rodentia,Chinchillidae,Lagostomus_maximus,6784,1899.5,3.8314858392486575,2.96174497353114,WhiteSeymore.2003,NA
Ctenomys_australis,Rodentia,Ctenomyidae,Ctenomys_australis,340,116.6,2.531478917042255,1.7498042260633964,WhiteSeymore.2003,NA
Ctenomys_fulvus,Rodentia,Ctenomyidae,Ctenomys_fulvus,300,189,2.4771212547196626,1.959567479813645,WhiteSeymore.2003,NA
Ctenomys_maulinus,Rodentia,Ctenomyidae,Ctenomys_maulinus,215,187.1,2.3324384599156054,1.955179463140411,WhiteSeymore.2003,NA
Ctenomys_opimus,Rodentia,Ctenomyidae,Ctenomys_opimus,214,109.7,2.330413773349191,1.723312303215112,WhiteSeymore.2003,NA
