Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10MR,MR,source
Bradypus_variegatus,Pilosa,Bradypodidae,3.6434526764861874,2.8582965245338854,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.041392685158225,2.271841606536499,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,1.9912260756924949,2.1583624920952498,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0170333392987803,2.2329961103921536,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0827853703164503,2.143014800254095,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0644579892269186,2.1789769472931693,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.2121876044039577,2.3180633349627615,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0827853703164503,2.2278867046136734,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.03342375548695,2.167317334748176,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.1398790864012365,2.292256071356476,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.113943352306837,2.326335860928751,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.100370545117563,2.0969100130080562,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.214843848047698,1.9459607035775686,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.255272505103306,1.8698182079793282,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.1702617153949575,1.8561244442423004,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.2253092817258628,1.8109042806687004,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.214843848047698,1.8718647020881949,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.271841606536499,1.9068735347220704,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.2174839442139063,1.7701152947871017,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.2121876044039577,1.526339277389844,FMR,Hudson.2013
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,1.1986570869544226,1.7489628612561614,FMR,Hudson.2013
Macropus_eugenii,Diprotodontia,Macropodidae,3.7234556720351857,3.143014800254095,FMR,Hudson.2013
Macropus_eugenii,Diprotodontia,Macropodidae,3.75815462196739,3.103803720955957,FMR,Hudson.2013
Macropus_eugenii,Diprotodontia,Macropodidae,3.532117116248804,2.997386384397313,FMR,Hudson.2013
Macropus_eugenii,Diprotodontia,Macropodidae,3.8027737252919755,3.184691430817599,FMR,Hudson.2013
Setonix_brachyurus,Diprotodontia,Macropodidae,3.1760912590556813,2.6541765418779604,FMR,Hudson.2013
Setonix_brachyurus,Diprotodontia,Macropodidae,3.45178643552429,2.6483600109809315,FMR,Hudson.2013
Setonix_brachyurus,Diprotodontia,Macropodidae,3.2068258760318495,2.798650645445269,FMR,Hudson.2013
Setonix_brachyurus,Diprotodontia,Macropodidae,3.3473300153169503,2.8564267724702446,FMR,Hudson.2013
Macropus_giganteus,Diprotodontia,Macropodidae,4.431363764158987,3.7489628612561616,FMR,Hudson.2013
Macropus_giganteus,Diprotodontia,Macropodidae,4.783903579272735,4.0305997219659515,FMR,Hudson.2013
Odocoileus_hemionus,Cetartiodactyla,Cervidae,4.8267225201689925,4.6180480967120925,FMR,Hudson.2013
Odocoileus_hemionus,Cetartiodactyla,Cervidae,4.507855871695831,4.201397124320452,FMR,Hudson.2013
Odocoileus_hemionus,Cetartiodactyla,Cervidae,4.5837653682849995,4.328379603438738,FMR,Hudson.2013
