Binomial.1.2,Order.1.2,Family.1.2,log10BMR,log10BM,BMR.source
Elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae,1.323587112610823,1.6560982020128319,WhiteSeymore.2003
Elephantulus_edwardii,Macroscelidea,Macroscelididae,1.4195021779170436,1.6989700043360187,WhiteSeymore.2003
Elephantulus_intufi,Macroscelidea,Macroscelididae,1.3991090192752003,1.667359546183087,WhiteSeymore.2003
Elephantulus_myurus,Macroscelidea,Macroscelididae,1.5046192040451742,1.799133693302063,WhiteSeymore.2003
Elephantulus_rozeti,Macroscelidea,Macroscelididae,1.3625335722525198,1.6561940621791857,WhiteSeymore.2003
Elephantulus_rufescens,Macroscelidea,Macroscelididae,1.4382179420354722,1.724275869600789,WhiteSeymore.2003
Macroscelides_proboscideus,Macroscelidea,Macroscelididae,1.4016073645076754,1.591064607026499,WhiteSeymore.2003
Petrodromus_tetradactylus,Macroscelidea,Macroscelididae,1.9371701285547391,2.3140990632952843,WhiteSeymore.2003
Manis_crassicaudata,Pholidota,Manidae,2.7768774571391313,4.201670179646581,WhiteSeymore.2003
Manis_javanica,Pholidota,Manidae,2.726860802609081,3.625312450961674,WhiteSeymore.2003
Phataginus_tetradactyla,Pholidota,Manidae,2.042941157980289,3.155336037465062,WhiteSeymore.2003
Manis_pentadactyla,Pholidota,Manidae,2.507882138115947,3.5608030019939636,WhiteSeymore.2003
Phataginus_tricuspis,Pholidota,Manidae,2.124014757705619,3.1351326513767748,WhiteSeymore.2003
Callithrix_jacchus,Primates,Callitrichidae,1.8649492635851737,2.278753600952829,WhiteSeymore.2003
Cebuella_pygmaea,Primates,Callitrichidae,1.751291537386563,2.0674428427763805,WhiteSeymore.2003
Saguinus_geoffroyi,Primates,Callitrichidae,2.052321533050544,2.3521825181113627,WhiteSeymore.2003
Alouatta_palliata,Primates,Atelidae,2.9959175018524893,3.6693168805661123,WhiteSeymore.2003
Aotus_trivirgatus,Primates,Aotidae,2.328527944989493,2.9138138523837167,WhiteSeymore.2003
Saimiri_sciureus,Primates,Cebidae,2.586738191724639,2.942008053022313,WhiteSeymore.2003
Cercopithecus_mitis,Primates,Cercopithecidae,3.2135615192250775,3.929418925714293,WhiteSeymore.2003
Colobus_guereza,Primates,Cercopithecidae,3.1570303690565584,4.019116290447073,WhiteSeymore.2003
Erythrocebus_patas,Primates,Cercopithecidae,2.7116769283329387,3.4771212547196626,WhiteSeymore.2003
Papio_anubis,Primates,Cercopithecidae,3.126837917041998,3.9777236052888476,WhiteSeymore.2003
Papio_ursinus,Primates,Cercopithecidae,3.3946598438905706,4.227886704613674,WhiteSeymore.2003
Cheirogaleus_medius,Primates,Cheirogaleidae,1.9731402870029189,2.4771212547196626,WhiteSeymore.2003
Propithecus_verreauxi,Primates,Indriidae,2.5091804783412277,3.525044807036845,WhiteSeymore.2003
Eulemur_fulvus,Primates,Lemuridae,2.55584450311307,3.367355921026019,WhiteSeymore.2003
Arctocebus_calabarensis,Primates,Lorisidae,1.8003769712961655,2.3138672203691533,WhiteSeymore.2003
Euoticus_elegantulus,Primates,Galagidae,2.017559426791332,2.417471693203293,WhiteSeymore.2003
Galago_moholi,Primates,Galagidae,1.3906758517383373,2.230448921378274,WhiteSeymore.2003
Galago_senegalensis,Primates,Galagidae,1.8198262427968077,2.2342641243787895,WhiteSeymore.2003
Galagoides_demidoff,Primates,Galagidae,1.4539576872825453,1.8048206787211623,WhiteSeymore.2003
Loris_tardigradus,Primates,Lorisidae,1.7903156452882694,2.4533183400470375,WhiteSeymore.2003
Nycticebus_coucang,Primates,Lorisidae,2.1192683226811573,3.0644579892269186,WhiteSeymore.2003
Otolemur_crassicaudatus,Primates,Galagidae,2.2980028916735358,2.9777236052888476,WhiteSeymore.2003
Otolemur_garnettii,Primates,Galagidae,2.5306783347825133,3.118595365223762,WhiteSeymore.2003
Perodicticus_potto,Primates,Lorisidae,2.197653428300687,2.984077033902831,WhiteSeymore.2003
Tarsius_syrichta,Primates,Tarsiidae,1.5695964008128829,2.0530784434834195,WhiteSeymore.2003
Tarsius_tarsier,Primates,Tarsiidae,1.856291944052675,2.2380461031287955,WhiteSeymore.2003
Cuniculus_paca,Rodentia,Cuniculidae,3.121932714362569,3.9617057840025054,WhiteSeymore.2003
Aplodontia_rufa,Rodentia,Aplodontiidae,2.1258989015801704,2.7993405494535817,WhiteSeymore.2003
Bathyergus_janetta,Rodentia,Bathyergidae,2.0159479426347526,2.6085260335771943,WhiteSeymore.2003
Bathyergus_suillus,Rodentia,Bathyergidae,2.1656934451671686,2.792391689498254,WhiteSeymore.2003
Fukomys_bocagei,Rodentia,Bathyergidae,1.525714915250963,1.9731278535996986,WhiteSeymore.2003
Fukomys_damarensis,Rodentia,Bathyergidae,1.5790804079994656,2.1398790864012365,WhiteSeymore.2003
Fukomys_darlingi,Rodentia,Bathyergidae,1.4524830017165395,1.7781512503836436,WhiteSeymore.2003
Cryptomys_hottentotus,Rodentia,Bathyergidae,1.5124094484714259,1.8750612633917,WhiteSeymore.2003
Cryptomys_hottentotus,Rodentia,Bathyergidae,1.4273986587630774,1.9003671286564703,WhiteSeymore.2003
Cryptomys_hottentotus,Rodentia,Bathyergidae,1.594795834394262,2.0086001717619175,WhiteSeymore.2003
Fukomys_mechowi,Rodentia,Bathyergidae,1.8877681873886198,2.4265112613645754,WhiteSeymore.2003
Georychus_capensis,Rodentia,Bathyergidae,1.7464390345921508,2.290034611362518,WhiteSeymore.2003
Heliophobius_argenteocinereus,Rodentia,Bathyergidae,1.5570072735048623,1.9444826721501687,WhiteSeymore.2003
Heterocephalus_glaber,Rodentia,Bathyergidae,0.9948595366961553,1.505149978319906,WhiteSeymore.2003
Capromys_pilorides,Rodentia,Echimyidae,2.464789260147752,3.419955748489758,WhiteSeymore.2003
Geocapromys_ingrahami,Rodentia,Echimyidae,2.1076606522471146,2.88930170250631,WhiteSeymore.2003
Geocapromys_brownii,Rodentia,Echimyidae,2.5504552928291937,3.3902283624691303,WhiteSeymore.2003
Cavia_tschudii,Rodentia,Caviidae,2.222181774433178,2.798650645445269,WhiteSeymore.2003
Dolichotis_salinicola,Rodentia,Caviidae,2.543982472043699,3.2076343673889616,WhiteSeymore.2003
Galea_musteloides,Rodentia,Caviidae,2.1047096025102325,2.507855871695831,WhiteSeymore.2003
Kerodon_rupestris,Rodentia,Caviidae,2.240010944695849,2.9036325160842376,WhiteSeymore.2003
Microcavia_niata,Rodentia,Caviidae,1.927877437135696,2.406540180433955,WhiteSeymore.2003
Chinchilla_lanigera,Rodentia,Chinchillidae,1.9845697487837006,2.629409599102719,WhiteSeymore.2003
Lagostomus_maximus,Rodentia,Chinchillidae,2.96174497353114,3.8314858392486575,WhiteSeymore.2003
Ctenomys_australis,Rodentia,Ctenomyidae,1.7498042260633966,2.531478917042255,WhiteSeymore.2003
Ctenomys_fulvus,Rodentia,Ctenomyidae,1.9595674798136453,2.4771212547196626,WhiteSeymore.2003
Ctenomys_maulinus,Rodentia,Ctenomyidae,1.955179463140411,2.3324384599156054,WhiteSeymore.2003
Ctenomys_opimus,Rodentia,Ctenomyidae,1.7233123032151123,2.330413773349191,WhiteSeymore.2003
Ctenomys_peruanus,Rodentia,Ctenomyidae,2.0265142694442586,2.690196080028514,WhiteSeymore.2003
Ctenomys_talarum,Rodentia,Ctenomyidae,1.7229162297887515,2.0827853703164503,WhiteSeymore.2003
Dasyprocta_azarae,Rodentia,Dasyproctidae,2.958647364041711,3.585347911094591,WhiteSeymore.2003
Dasyprocta_leporina,Rodentia,Dasyproctidae,2.87581248225326,3.4292676664331685,WhiteSeymore.2003
Myoprocta_acouchy,Rodentia,Dasyproctidae,2.3844145608684766,2.9609461957338312,WhiteSeymore.2003
Dipus_sagitta,Rodentia,Dipodidae,1.7666082954706683,2.2041199826559246,WhiteSeymore.2003
Jaculus_jaculus,Rodentia,Dipodidae,1.648307376666313,1.8750612633917,WhiteSeymore.2003
Jaculus_orientalis,Rodentia,Dipodidae,1.826120475894496,2.143014800254095,WhiteSeymore.2003
Napaeozapus_insignis,Rodentia,Dipodidae,1.2808008615659134,1.3424226808222062,WhiteSeymore.2003
Sicista_betulina,Rodentia,Dipodidae,1.188255653960307,1,WhiteSeymore.2003
Zapus_hudsonius,Rodentia,Dipodidae,1.2357738917525944,1.376576957056512,WhiteSeymore.2003
Proechimys_semispinosus,Rodentia,Echimyidae,2.1796201943381464,2.6972293427597176,WhiteSeymore.2003
Thrichomys_apereoides,Rodentia,Echimyidae,1.9984461522676893,2.509202522331103,WhiteSeymore.2003
Coendou_prehensilis,Rodentia,Erethizontidae,2.6461375506942995,3.515873843711679,WhiteSeymore.2003
Erethizon_dorsatum,Rodentia,Erethizontidae,3.1277749065789258,4.046729222266487,WhiteSeymore.2003
Geomys_bursarius,Rodentia,Geomyidae,1.8226699418162509,2.294466226161593,WhiteSeymore.2003
Geomys_pinetis,Rodentia,Geomyidae,1.8076099004746833,2.2380461031287955,WhiteSeymore.2003
Thomomys_bottae,Rodentia,Geomyidae,1.762648683043307,2.155336037465062,WhiteSeymore.2003
Thomomys_talpoides,Rodentia,Geomyidae,1.8353940200234573,2.0285712526925375,WhiteSeymore.2003
Thomomys_umbrinus,Rodentia,Geomyidae,1.5422439729349318,1.9294189257142926,WhiteSeymore.2003
Chaetodipus_baileyi,Rodentia,Heteromyidae,1.2209247707136752,1.4638929889859074,WhiteSeymore.2003
Chaetodipus_californicus,Rodentia,Heteromyidae,1.0114852790791389,1.3424226808222062,WhiteSeymore.2003
Chaetodipus_fallax,Rodentia,Heteromyidae,1.1128579556428093,1.2922560713564761,WhiteSeymore.2003
Chaetodipus_hispidus,Rodentia,Heteromyidae,1.3768326245640479,1.5965970956264601,WhiteSeymore.2003
Chaetodipus_intermedius,Rodentia,Heteromyidae,0.9359587066202941,1.1760912590556813,WhiteSeymore.2003
Chaetodipus_penicillatus,Rodentia,Heteromyidae,1.033353693974564,1.2041199826559248,WhiteSeymore.2003
Dipodomys_agilis,Rodentia,Heteromyidae,1.4865627912888149,1.7824726241662863,WhiteSeymore.2003
Dipodomys_deserti,Rodentia,Heteromyidae,1.6478365966940305,2.0253058652647704,WhiteSeymore.2003
Dipodomys_heermanni,Rodentia,Heteromyidae,1.5476167566987928,1.801403710017355,WhiteSeymore.2003
Dipodomys_merriami,Rodentia,Heteromyidae,1.3114946056907126,1.5622928644564746,WhiteSeymore.2003
Dipodomys_microps,Rodentia,Heteromyidae,1.508531793408224,1.7573960287930241,WhiteSeymore.2003
Dipodomys_nitratoides,Rodentia,Heteromyidae,1.3468066010300492,1.5774917998372253,WhiteSeymore.2003
Dipodomys_ordii,Rodentia,Heteromyidae,1.4906407037092546,1.670245853074124,WhiteSeymore.2003
Dipodomys_panamintinus,Rodentia,Heteromyidae,1.5540944894009763,1.8075350280688534,WhiteSeymore.2003
Heteromys_anomalus,Rodentia,Heteromyidae,1.685271737396909,1.8407332346118068,WhiteSeymore.2003
