Binomial.1.2,Genus.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Accepted,Comment
Leptonychotes_weddellii,Leptonychotes,Carnivora,Phocidae,Leptonychotes_weddellii,387400,42952.96301477376,5.588159616383092,4.632993128041086,Genoud.2018,1,NA
Histriophoca_fasciata,Histriophoca,Carnivora,Phocidae,Histriophoca_fasciata,54000,7548.946371867648,4.732393759822968,3.877886340130434,Genoud.2018,0,NA
Pagophilus_groenlandicus,Pagophilus,Carnivora,Phocidae,Pagophilus_groenlandicus,122850,12982.012681958398,5.0893751608160995,4.113342029051911,Genoud.2018,1,NA
Pagophilus_groenlandicus,Pagophilus,Carnivora,Phocidae,Pagophilus_groenlandicus,149500,16503.98017747968,5.174641192660449,4.217588693345102,Genoud.2018,1,NA
Phoca_vitulina,Phoca,Carnivora,Phocidae,Phoca_vitulina,63000,8382.14766111744,4.799340549453582,3.9233553071592007,Genoud.2018,1,NA
Phoca_vitulina,Phoca,Carnivora,Phocidae,Phoca_vitulina,86800,14519.8002963456,4.938519725176492,4.161960643169064,Genoud.2018,1,NA
Pusa_hispida,Pusa,Carnivora,Phocidae,Pusa_hispida,46600,6652.498143744,4.66838591669,3.8229847620416377,Genoud.2018,1,NA
Ailurus_fulgens,Ailurus,Carnivora,Ailuridae,Ailurus_fulgens,5740,423.349555785216,3.7589118923979736,2.6266991084087703,Genoud.2018,1,NA
Bassariscus_astutus,Bassariscus,Carnivora,Procyonidae,Bassariscus_astutus,865,178.84614574848,2.9370161074648142,2.252479585255447,Genoud.2018,1,NA
Bassariscus_sumichrasti,Bassariscus,Carnivora,Procyonidae,Bassariscus_sumichrasti,1282,305.9185015956481,3.1078880251827985,2.4856057434047947,Genoud.2018,1,NA
Nasua_narica,Nasua,Carnivora,Procyonidae,Nasua_narica,3665,581.2740769367041,3.564073978977147,2.764380955169735,Genoud.2018,1,NA
Nasua_nasua,Nasua,Carnivora,Procyonidae,Nasua_nasua,3850,487.174972758528,3.5854607295085006,2.687684969542613,Genoud.2018,1,NA
Potos_flavus,Potos,Carnivora,Procyonidae,Potos_flavus,2400,365.40533282304,3.380211241711606,2.5627748812724547,Genoud.2018,1,NA
Potos_flavus,Potos,Carnivora,Procyonidae,Potos_flavus,2600,426.14553326591994,3.4149733479708178,2.629557940653474,Genoud.2018,1,NA
Potos_flavus,Potos,Carnivora,Procyonidae,Potos_flavus,2030,355.28196608255996,3.307496037913213,2.5505731634994526,Genoud.2018,1,NA
Procyon_lotor,Procyon,Carnivora,Procyonidae,Procyon_lotor,4700,996.91059139584,3.6720978579357175,2.998656210062306,Genoud.2018,1,NA
Procyon_lotor,Procyon,Carnivora,Procyonidae,Procyon_lotor,6480,902.90790023424,3.8115750058705933,2.9556434530156386,Genoud.2018,1,NA
Melursus_ursinus,Melursus,Carnivora,Ursidae,Melursus_ursinus,66957,4067.1831042585595,4.825795986911234,3.609293724747607,Genoud.2018,1,NA
Ursus_americanus,Ursus,Carnivora,Ursidae,Ursus_americanus,129500,6507.91718408663,5.112269768417271,3.8134420177247117,Genoud.2018,0,NA
Ursus_americanus,Ursus,Carnivora,Ursidae,Ursus_americanus,143000,4920.92036603904,5.155336037465061,3.692046337017488,Genoud.2018,0,NA
Ursus_americanus,Ursus,Carnivora,Ursidae,Ursus_americanus,61450,6777.719369672909,4.788521887222473,3.8310835829838608,Genoud.2018,0,NA
Ursus_arctos,Ursus,Carnivora,Ursidae,Ursus_arctos,170000,8393.987179552974,5.230448921378274,3.9239683015619558,Genoud.2018,0,NA
Ursus_arctos,Ursus,Carnivora,Ursidae,Ursus_arctos,136000,7381.380549058559,5.133538908370218,3.8681375960731694,Genoud.2018,0,NA
Ursus_maritimus,Ursus,Carnivora,Ursidae,Ursus_maritimus,181333,9492.285699180135,5.258476846642339,3.9773708011540405,Genoud.2018,0,NA
Ursus_maritimus,Ursus,Carnivora,Ursidae,Ursus_maritimus,204000,10308.479732305921,5.309630167425898,4.013194621388882,Genoud.2018,0,NA
Arctictis_binturong,Arctictis,Carnivora,Viverridae,Arctictis_binturong,14280,543.817619996928,4.154728207440155,2.735453274865065,Genoud.2018,1,NA
Arctogalidia_trivirgata,Arctogalidia,Carnivora,Viverridae,Arctogalidia_trivirgata,2010,266.48557781606394,3.303196057420489,2.425673710006543,Genoud.2018,1,NA
Genetta_tigrina,Genetta,Carnivora,Viverridae,Genetta_tigrina,1732,367.38179966284804,3.2385478876813276,2.56511763726706,Genoud.2018,1,NA
Paradoxurus_hermaphroditus,Paradoxurus,Carnivora,Viverridae,Paradoxurus_hermaphroditus,3160,366.3694629888,3.499687082618404,2.5639192679211926,Genoud.2018,1,NA
Peropteryx_macrotis,Peropteryx,Chiroptera,Emballonuridae,Peropteryx_macrotis,5.1,5.6787266763263995,0.7075701760979364,0.7542509660914839,Genoud.2018,1,NA
Saccopteryx_bilineata,Saccopteryx,Chiroptera,Emballonuridae,Saccopteryx_bilineata,7.8,6.98994370176,0.8920946026904804,0.844473677875376,Genoud.2018,1,NA
Taphozous_mauritianus,Taphozous,Chiroptera,Emballonuridae,Taphozous_mauritianus,26.17,15.0115066808832,1.417803722639881,1.1764242838725025,Genoud.2018,1,NA
Aselliscus_tricuspidatus,Aselliscus,Chiroptera,Hipposideridae,Aselliscus_tricuspidatus,4.2,3.4419446917632,0.6232492903979004,0.5368038874165755,Genoud.2018,1,NA
Hipposideros_diadema,Hipposideros,Chiroptera,Hipposideridae,Hipposideros_diadema,37.2,15.90814773504,1.5705429398818975,1.2016196155182886,Genoud.2018,1,NA
Hipposideros_cervinus,Hipposideros,Chiroptera,Hipposideridae,Hipposideros_cervinus,8.3,4.3193031426048,0.919078092376074,0.6354136853025263,Genoud.2018,1,NA
Hipposideros_galeritus,Hipposideros,Chiroptera,Hipposideridae,Hipposideros_galeritus,8.5,4.507308524928,0.9294189257142927,0.6539172865129188,Genoud.2018,1,NA
Hipposideros_maggietaylorae,Hipposideros,Chiroptera,Hipposideridae,Hipposideros_maggietaylorae,18.2,10.171573248768,1.2600713879850747,1.0073881309380939,Genoud.2018,1,NA
Rhinonicteris_aurantia,Rhinonicteris,Chiroptera,Hipposideridae,Rhinonicteris_aurantia,8.27,7.809454342656,0.9175055095525466,0.892620690183032,Genoud.2018,1,NA
Macroderma_gigas,Macroderma,Chiroptera,Megadermatidae,Macroderma_gigas,148,67.055253028608,2.1702617153949575,1.8264328056324475,Genoud.2018,1,NA
