Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,MR,log10BM,log10MR,MR.type,Source,Comment
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,3490,973.71,3.5428254269591797,2.9884296302327775,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,2920,829.28,3.4653828514484184,2.918701191495456,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,1970,494.47,3.294466226161593,2.694139947642631,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,4450,222.5,3.6483600109809315,2.3473300153169503,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,3980,210.94,3.5998830720736876,2.324158941674477,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,3480,643.8,3.5415792439465807,2.8087509723495945,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,4370,659.87,3.640481436970422,2.819458384263591,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,81.8,139.06,1.912753303671323,2.143202225049597,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,60.3,94.671,1.7803173121401512,1.976216964549385,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,93,84.816,1.968482948553935,1.9284777868823513,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,86.5,92.209,1.9370161074648142,1.9647733121553677,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,83.8,121.091,1.9232440186302764,2.0831118657228433,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,97.4,172.9824,1.9885589568786155,2.238001918321198,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,82.19999999999999,171.0582,1.9148718175400503,2.2331438977516775,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,102.3,195.2907,2.00987563371216,2.290681562105827,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,79.10000000000001,160.0984,1.8981764834976766,2.204386991665438,FMR,Hudson.2013,NA
Arvicola_amphibius,Rodentia,Cricetidae,Arvicola_amphibius,75.5,144.7335,1.8779469516291882,2.160569064507251,FMR,Hudson.2013,NA
Cervus_elaphus,Cetartiodactyla,Cervidae,Cervus_elaphus,104500,28090,5.019116290447073,4.448551739201578,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,405,486.7,2.6074550232146687,2.687261346243506,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,466,398.8,2.66838591669,2.600755149639618,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,385,296.3,2.5854607295085006,2.471731651480051,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,362,436,2.558708570533166,2.639486489268586,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,428,247.7,2.6314437690131722,2.3939260065858368,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,446,291.8,2.649334858712142,2.4650852875574327,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,410,278.7,2.6127838567197355,2.445136968713304,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,467,322.6,2.6693168805661123,2.508664363052943,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,546,592.9,2.7371926427047373,2.7729814503449637,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,687,511.8,2.8369567370595505,2.7091002815511667,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,411,356.5,2.6138418218760693,2.5520595341878844,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,400,323.8,2.6020599913279625,2.510276844417355,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,366,234.7,2.5634810853944106,2.3705130895985924,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,679,655,2.8318697742805017,2.816241299991783,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,550,455.5,2.7403626894942437,2.658488381309017,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,485,583.9,2.6857417386022635,2.7663384752512874,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,620,556.4,2.792391689498254,2.7453871213200087,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,679,795.4,2.8318697742805017,2.9005855866499615,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,588,507.6,2.7693773260761385,2.7055216134226674,FMR,Hudson.2013,NA
Cavia_magna,Rodentia,Caviidae,Cavia_magna,560,409.5,2.7481880270062002,2.6122539060964374,FMR,Hudson.2013,NA
Petrogale_lateralis,Diprotodontia,Macropodidae,Petrogale_lateralis,2205,610,3.3434085938038574,2.785329835010767,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,10400,1804.6912,4.017033339298781,3.256402900641054,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,10100,2045.03184,4.004321373782642,3.310700074117765,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,11666.66667,2219.27488,4.066946789754697,3.3462110973981782,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,7833.333333,2551.6464,3.8939466075335933,3.4068204909077773,FMR,Hudson.2013,NA
Alouatta_palliata,Primates,Atelidae,Alouatta_palliata,6250,2531.25,3.7958800173440754,3.4033350405587437,FMR,Hudson.2013,NA
Alouatta_palliata,Primates,Atelidae,Alouatta_palliata,6700,1922.9,3.8260748027008264,3.283956699434819,FMR,Hudson.2013,NA
Alouatta_palliata,Primates,Atelidae,Alouatta_palliata,3200,1110.4,3.505149978319906,3.04547945311078,FMR,Hudson.2013,NA
Alouatta_palliata,Primates,Atelidae,Alouatta_palliata,9430,3291.07,3.9745116927373285,3.517337119696508,FMR,Hudson.2013,NA
Alouatta_palliata,Primates,Atelidae,Alouatta_palliata,7400,2449.4,3.8692317197309762,3.389059713506695,FMR,Hudson.2013,NA
Bradypus_variegatus,Pilosa,Bradypodidae,Bradypus_variegatus,3993.333333,586.0666667,3.6013355632973787,2.767947021023438,FMR,Hudson.2013,NA
Bradypus_variegatus,Pilosa,Bradypodidae,Bradypus_variegatus,4216.666667,489.05,3.6249692708265058,2.6893532632422525,FMR,Hudson.2013,NA
Bradypus_variegatus,Pilosa,Bradypodidae,Bradypus_variegatus,4400,721.6,3.6434526764861874,2.8582965245338854,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,110,187,2.041392685158225,2.271841606536499,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,98,144,1.9912260756924949,2.1583624920952498,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,104,171,2.0170333392987803,2.2329961103921536,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,121,139,2.0827853703164503,2.143014800254095,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,116,151,2.0644579892269186,2.1789769472931693,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,163,208,2.2121876044039577,2.3180633349627615,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,121,169,2.0827853703164503,2.2278867046136734,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,108,147,2.03342375548695,2.167317334748176,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,138,196,2.1398790864012365,2.292256071356476,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,130,212,2.113943352306837,2.326335860928751,FMR,Hudson.2013,NA
Petaurus_breviceps,Diprotodontia,Petauridae,Petaurus_breviceps,126,125,2.100370545117563,2.0969100130080562,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,16.400000000000002,88.3,1.214843848047698,1.9459607035775686,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,18,74.1,1.255272505103306,1.8698182079793282,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,14.8,71.8,1.1702617153949575,1.8561244442423004,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,16.8,64.7,1.2253092817258628,1.8109042806687004,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,16.400000000000002,74.45,1.214843848047698,1.8718647020881949,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,18.700000000000003,80.7,1.271841606536499,1.9068735347220704,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,16.5,58.9,1.2174839442139063,1.7701152947871017,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,16.299999999999997,33.6,1.2121876044039577,1.526339277389844,FMR,Hudson.2013,NA
Sminthopsis_crassicaudata,Dasyuromorphia,Dasyuridae,Sminthopsis_crassicaudata,15.8,56.1,1.1986570869544226,1.7489628612561614,FMR,Hudson.2013,NA
Macropus_eugenii,Diprotodontia,Macropodidae,Macropus_eugenii,5290,1390,3.7234556720351857,3.143014800254095,FMR,Hudson.2013,NA
Macropus_eugenii,Diprotodontia,Macropodidae,Macropus_eugenii,5730,1270,3.75815462196739,3.103803720955957,FMR,Hudson.2013,NA
Macropus_eugenii,Diprotodontia,Macropodidae,Macropus_eugenii,3405,994,3.532117116248804,2.997386384397313,FMR,Hudson.2013,NA
Macropus_eugenii,Diprotodontia,Macropodidae,Macropus_eugenii,6350,1530,3.8027737252919755,3.184691430817599,FMR,Hudson.2013,NA
Setonix_brachyurus,Diprotodontia,Macropodidae,Setonix_brachyurus,1500,451,3.1760912590556813,2.6541765418779604,FMR,Hudson.2013,NA
Setonix_brachyurus,Diprotodontia,Macropodidae,Setonix_brachyurus,2830,445,3.45178643552429,2.6483600109809315,FMR,Hudson.2013,NA
Setonix_brachyurus,Diprotodontia,Macropodidae,Setonix_brachyurus,1610,629,3.2068258760318495,2.798650645445269,FMR,Hudson.2013,NA
Setonix_brachyurus,Diprotodontia,Macropodidae,Setonix_brachyurus,2225,718.5,3.3473300153169503,2.8564267724702446,FMR,Hudson.2013,NA
