Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.median,log10.bmr.mean,sd,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.median,log10.fmr.mean,sd1,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.median,bmr.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.median,fmr.mean,fmr.lower.95hpd,fmr.upper.95hpd
Phalanger_vestitus,Diprotodontia,Phalangeridae,3.2671717284030137,2.463651998463839,2.4635888785898152,0.1005145740367733,2.2768375863544357,2.668375433284063,2.8527222125452116,2.852289016750574,0.10112714337450412,2.6652536090118035,3.059379645448373,290.83856854894685,290.79630146844204,189.16360688668453,465.98875139241187,712.3972142678958,711.6869735718486,462.65111057605816,1146.514747662931
Phaner_electromontis,Primates,Cheirogaleidae,2.583878598498626,1.9860177321073489,1.9845031853471304,0.10476791357148824,1.7757827079361062,2.190297174837089,2.40496384356163,2.404096691828601,0.10455373167791916,2.188755460939635,2.600236787725181,96.83173915492296,96.49463892105871,59.6736644565419,154.98767908829822,254.07611700529577,253.56931173216094,154.43845949538257,398.3242872753856
Phaner_furcifer,Primates,Cheirogaleidae,2.6020599913279625,2.0002510765144716,1.9999926772669976,0.10512240396614964,1.7990712293173008,2.207751953976452,2.4186366243804756,2.4187641581189427,0.10484968367513268,2.2165335051430457,2.6228967899073568,100.0578292185913,99.99831389262982,62.96094376181781,161.34367839158287,262.20237694248203,262.2793858871936,164.63929780835412,419.65924011228185
Phaner_pallescens,Primates,Cheirogaleidae,2.514547752660286,1.933659865291988,1.9350820499204708,0.1046758544462308,1.733603584179157,2.1405315990789946,2.3565288214530824,2.3578101750051905,0.1045195717317087,2.1588422471249817,2.5680006489619327,85.83410148558062,86.11564324524328,54.150638792093226,138.20749614205386,227.2630450768749,227.93455791746928,144.15916135102282,369.82873241125657
Phaner_parienti,Primates,Cheirogaleidae,2.5603849229720153,1.9686509566680916,1.9678930450827608,0.10378513674137094,1.7660492632625258,2.1719792078934073,2.3892507074250897,2.3885487586017184,0.10365325964056936,2.1917802912754354,2.5971412063877564,93.0359842869273,92.87376357972911,58.35112898707702,148.58645039373667,245.04774334173877,244.6519933455232,155.51786707288642,395.4951903621737
Phanourios_minutes,Cetartiodactyla,Hippopotamidae,5.301029995663981,4.1784043528377985,4.176865896089593,0.16409250851706644,3.8493372383747726,4.490575059821756,4.4738121648522675,4.4736102837638665,0.16434280604005327,4.163223590555783,4.803324098207641,15080.104561822216,15026.778890522664,7068.662370127275,30943.900777090526,29772.28480521025,29758.448422868572,14562.085966441715,63580.52332196112
Phascogale_calura,Dasyuromorphia,Dasyuridae,1.711807229041191,1.43761485609634,1.4381888245746681,0.0631842696485487,1.3144326374125097,1.5627235814930955,1.8970165364830198,1.8972108293674945,0.06310408883174116,1.7660475011843098,2.0142861957825913,27.39143948748136,27.427664254649134,20.626837035677852,36.536217292425455,78.88901553483466,78.9243164749237,58.35089223747745,103.3442209644413
Phascogale_pirata,Dasyuromorphia,Dasyuridae,2.258876629372131,1.8352496649636016,1.8360314432697593,0.06412900227030066,1.7157088356684143,1.9683827066790298,2.2702070717139597,2.2703190906663986,0.0642817555442415,2.146392839807522,2.398480781018167,68.4304923900486,68.55378581482077,51.96474921168867,92.97853664057563,186.29751919554425,186.34557770291207,140.08538879527342,250.31148747358475
Phascogale_tapoatafa,Dasyuromorphia,Dasyuridae,2.28668096935493,1.8550914380330878,1.8559016966475028,0.06308581902105248,1.7347197581915235,1.9811735899206737,2.288220809337058,2.288932241230708,0.06328979279796146,2.1655865600231916,2.413273323745174,71.6294205678988,71.76318356038236,54.28998956636844,95.75767435636443,194.18729375453952,194.50565895727706,146.41533315345336,258.98423226894346
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,4.010723865391773,2.9317356607557947,2.9314638226893126,0.038176538432847115,2.857727822781814,3.00718031454826,3.287010851676152,3.2865461341395052,0.03482824827661077,3.217785836228696,3.3540006577215333,854.5464232549853,854.0117041392555,720.6556946295158,1016.67071635353,1936.4703497480716,1934.3993346560883,1651.1473666268241,2259.439192048209
