Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.median,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.median,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.median,bmr.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.median,fmr.mean,fmr.lower.95hpd,fmr.upper.95hpd
Glauconycteris_egeria,Chiroptera,Vespertilionidae,0.8808135922807914,0.8741667298128395,0.8748844775454673,0.18380651502830053,0.5122758836201741,1.2294612379571768,1.3714398810087474,1.3713385164460636,0.18408507036414964,1.0068058298838949,1.7231279699639348,7.484567850931862,7.4969476378897975,3.2529387323809598,16.961382102466732,23.520138837037447,23.514649864733286,10.15794436530545,52.860098731149414
Glauconycteris_gleni,Chiroptera,Vespertilionidae,1.0334237554869496,0.9877134353792327,0.9873101338786777,0.18378310533231773,0.6176675008464007,1.335587278890744,1.4772827875975094,1.476850660505056,0.18412187331294677,1.1208137998972267,1.8421450359582192,9.721055785238686,9.712032652904664,4.1463647225060996,21.656450589262057,30.011160371280187,29.981313835819115,13.207292612299531,69.52564650279524
Glauconycteris_humeralis,Chiroptera,Vespertilionidae,0.7923916894982539,0.8116775822457005,0.8113356034580097,0.18396029556727653,0.4461182536143472,1.1620606266588092,1.3116787475715337,1.3117953120817358,0.18418761861937383,0.9482224681665508,1.6706372467377475,6.481530697353979,6.476428920475928,2.7933043237649198,14.52314343674351,20.496454725220165,20.50195670592448,8.876105757921286,46.84219597669283
Glauconycteris_kenyacola,Chiroptera,Vespertilionidae,0.8450980400142568,0.8495319868956023,0.8491680954748294,0.1834334404461035,0.4749224409673153,1.1901756430939328,1.3474534545775227,1.3472401125217541,0.18378024041153115,0.9945077541122094,1.7122608346971888,7.071832846147317,7.06590990306501,2.9848495181677546,15.49443138411165,22.2563250030119,22.245394530101095,9.874332657198636,51.55381808018705
Glauconycteris_machadoi,Chiroptera,Vespertilionidae,1.0453229787866574,0.9977076686894912,0.9960754049545467,0.1826387726294113,0.6356318514558259,1.3492489575689364,1.486825313069755,1.485076875566516,0.18302012810614982,1.117838353343802,1.8381742901169005,9.947356177809896,9.910039943370597,4.321473472915958,22.348529762022835,30.677877792427317,30.554619204047437,13.11711582301064,68.8928720249258
Glauconycteris_poensis,Chiroptera,Vespertilionidae,0.8512583487190752,0.8554939266494676,0.8539506008919178,0.1839696726762832,0.4972938972369937,1.2185295216978558,1.3527030684706634,1.351743544979683,0.18431500368880274,0.9957632779593112,1.7183617782812992,7.169583492733856,7.1441505984849645,3.142634668854506,16.539772120712563,22.526984927684865,22.4772690975687,9.902920166701337,52.28315395332442
Glauconycteris_superba,Chiroptera,Vespertilionidae,1.0755469613925308,1.0183586517479133,1.0182595139263662,0.18320889970153792,0.6553085738149114,1.3686786067735346,1.5060147656555924,1.5058917842810815,0.18349665968182446,1.1451338296185174,1.8638408674596976,10.431785579244922,10.429404553210965,4.521771099990351,23.37107056930173,32.063783368815606,32.0547049898518,13.967987239756424,73.08712313434084
Glauconycteris_variegata,Chiroptera,Vespertilionidae,1.0453229787866574,0.9979057362134705,0.995642543836175,0.1828575802563969,0.6312246303259935,1.3506907373528538,1.4865013444872397,1.4846440144481443,0.18321665213680813,1.1206882744603306,1.840431211546778,9.951893876633212,9.900167531665803,4.277840918935868,22.4228461626575,30.655001695751064,30.524180600168005,13.203475820512674,69.2518231909883
Glironia_venusta,Didelphimorphia,Didelphidae,2.0569048513364727,1.6412820463512392,1.6421093476358055,0.12031442880308153,1.4078396448183237,1.883439111243603,2.0844082464120612,2.085284357248567,0.12104592732964427,1.8401620825536855,2.317007500721764,43.78063399294535,43.8641125916035,25.57641350913268,76.46084816349594,121.45299990719865,121.69825674039744,69.20892165619588,207.49493536997286
Glirulus_japonicus,Rodentia,Gliridae,1.4313637641589874,1.2966914641457044,1.2968892087998511,0.11541780003104643,1.0683551009641064,1.521541913661482,1.768508479223639,1.7684023440876844,0.11615413830399443,1.5439796015183094,1.9985600199826443,19.801197893744476,19.81021590515493,11.70456023457051,33.2308854715383,58.68248267534506,58.66814329837957,34.99287307558717,99.66898142629951
